Organization Name,Organization Code,Organization Parent Organization Name,Organization Active Flag,Organization Parent Organization Code,Organization Type Code,Organization Type Description,total,pgrps-tot,pgrps-faculty,pgrps-staff,pgrps-student,pgrps-dcc
COM Phx Precision Medicine,86PM,COM Phx Ctr Tox&Pharm Ed&Res,N,0686,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Dean of Students Office,8701,Dean of Students,Y,DNST,O,OFFICIAL ORG,260,59,16,20,42,0
Ctr for Global Student Program,8702,International Affairs,N,INTL,O,OFFICIAL ORG,39,0,0,0,0,0
Campus Recreation,8706,Campus Recreation,Y,CREC,O,OFFICIAL ORG,3806,554,13,61,492,5
Native American Student Affair,8707,Dean of Students,N,DNST,O,OFFICIAL ORG,44,0,0,0,0,0
Chicano Hispano Stdnt Affairs,8708,Dean of Students,Y,DNST,O,OFFICIAL ORG,31,2,0,0,2,0
African American Student Affai,8709,Dean of Students,N,DNST,O,OFFICIAL ORG,27,0,0,0,0,0
Asian Pacific Amer Stdnt Affr,8710,Dean of Students,N,DNST,O,OFFICIAL ORG,29,0,0,0,0,0
Multicul Affairs & Studnt Succ,8711,Dean of Students,N,DNST,O,OFFICIAL ORG,113,3,0,0,1,2
COM Phx Translational Neuroscience,87TN,COM Phx Translational Neurosci,Y,0687,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Housing & Residential Life,8801,Housing & Residential Life,Y,RSLF,O,OFFICIAL ORG,231,60,19,34,27,0
Residential Facilities,8802,Housing & Residential Life,Y,8801,N,UNOFFICIAL ORG - LEVEL 1,780,202,8,146,59,0
RESIDENTIAL EDUCATION,8804,Housing & Residential Life,Y,8801,N,UNOFFICIAL ORG - LEVEL 1,590,88,27,34,59,1
RESIDENCE HALL-DESK ASSISTANT,8810,Housing & Residential Life,Y,8801,N,UNOFFICIAL ORG - LEVEL 1,1695,256,0,0,250,6
RESIDENTS ASSISTANTS,8814,Housing & Residential Life,Y,8801,N,UNOFFICIAL ORG - LEVEL 1,456,17,0,0,11,6
COM Phx Interdisciplinary Oncology,88IO,COM-Phx Interdisc Oncology,Y,0688,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Student Programs,8901,Dean of Students,Y,DNST,O,OFFICIAL ORG,262,14,4,6,9,0
Associated Students (ASUA),8902,Dean of Students,Y,DNST,O,OFFICIAL ORG,1015,141,3,6,134,2
Arizona Student Media,8903,Dean of Students,Y,DNST,O,OFFICIAL ORG,1893,98,4,6,90,2
The UofA BookStores,8905,UA Assoc Students Bookstore,Y,OTDT,O,OFFICIAL ORG,5282,524,14,62,459,6
U OF A ASSOC STUDENT BOOKSTORE,8907,Student Programs,Y,8901,N,UNOFFICIAL ORG - LEVEL 1,17,1,0,0,1,0
Student Learning Services,8908,Stud Success Retention Innov,Y,STTS,O,OFFICIAL ORG,1451,513,61,96,431,7
A Center,8909,Stud Success Retention Innov,Y,STTS,O,OFFICIAL ORG,22,22,15,18,7,0
Graduate Prof Student Council,8918,Graduate College,Y,GRDC,O,OFFICIAL ORG,22,14,0,0,13,1
Green Fund,8920,Dean of Students,Y,DNST,O,OFFICIAL ORG,22,5,0,1,4,0
Spon Projs & Contrg Svcs,9001,RDI Research Infrastructure,Y,RSDV,O,OFFICIAL ORG,238,60,22,56,5,0
Research Partnership Services,9002,RDI Research Infrastructure,Y,RSDV,O,OFFICIAL ORG,33,0,0,0,0,0
Study Abroad & Stdnt Exchange,9003,International Affairs,N,INTL,O,OFFICIAL ORG,37,0,0,0,0,0
UA Global,9004,Ofc of Global Initiatives Div,Y,OTDV,O,OFFICIAL ORG,235,124,71,85,50,1
University Animal Care,9005,RDI Research Infrastructure,Y,RSDV,O,OFFICIAL ORG,249,74,6,64,12,1
American Indian Studies Prog,9006,College of Social & Behav Sci,Y,SBSC,O,OFFICIAL ORG,158,25,9,4,14,0
Intl Studies and Fellowships,9007,International Affairs,N,INTL,O,OFFICIAL ORG,3,0,0,0,0,0
Intl Faculty and Scholars,9008,International Affairs,N,INTL,O,OFFICIAL ORG,20,0,0,0,0,0
Tech Transfer Arizona,9009,Tech Launch Arizona,Y,TLAZ,O,OFFICIAL ORG,92,23,11,14,9,1
INSTL ANIMAL CARE & USE COMM,9010,RDI Research Infrastructure,N,RSDV,O,OFFICIAL ORG,0,0,0,0,0,0
BIO5 Institute,9011,RDI Centers & Institutes,Y,RCTI,O,OFFICIAL ORG,515,161,57,77,74,8
VP Outreach & Global Init,9012,Ofc of Global Initiatives Div,N,OTDV,O,OFFICIAL ORG,21,0,0,0,0,0
RDI Business Services,9013,RDI Research Infrastructure,Y,RSDV,O,OFFICIAL ORG,23,15,10,12,4,0
RDI External Relations,9014,RDI Research Infrastructure,Y,RSDV,O,OFFICIAL ORG,20,11,5,11,0,0
Continuing&Professional Educ,9015,Ofc of Global Initiatives Div,N,OTDV,O,OFFICIAL ORG,3,0,0,0,0,0
Tech Launch Arizona,9016,Tech Launch Arizona,Y,TLAZ,O,OFFICIAL ORG,94,37,12,16,19,3
Occupational Health,9017,RDI Research Infrastructure,Y,RSDV,O,OFFICIAL ORG,7,7,3,6,1,0
Center for Insect Science,9021,RDI Centers & Institutes,Y,RCTI,O,OFFICIAL ORG,29,8,1,2,3,3
UA-MEXICO COLLABORATION,9080,RDI Research Infrastructure,N,RSDV,O,OFFICIAL ORG,0,0,0,0,0,0
Printing & Publishing Support,9101,Financial Services,Y,FNSV,O,OFFICIAL ORG,30,1,0,0,1,0
Phx Biomed Campus Fac & Plan,9200,Phx Biomed Campus Facility Div,Y,PBCF,O,OFFICIAL ORG,18,14,3,14,0,0
Office of Budget and Planning,9201,Division of Budget & Planning,Y,BDGT,O,OFFICIAL ORG,53,12,7,9,3,0
Planning Design & Construction,9202,Planning Design & Construction,Y,PDCN,O,OFFICIAL ORG,127,52,19,46,7,0
Campus and Facilities Planning,9205,Planning Design & Construction,N,PDCN,O,OFFICIAL ORG,4,0,0,0,0,0
Real Estate Administration,9207,Planning Design & Construction,Y,PDCN,O,OFFICIAL ORG,39,0,0,0,0,0
University Insurance,9208,Business Affairs Division,Y,BUDV,O,OFFICIAL ORG,0,0,0,0,0,0
Staff Shared Governance,9209,Business Affairs Division,Y,BUDV,O,OFFICIAL ORG,0,0,0,0,0,0
General Administration,9301,Academic Affairs Division,Y,AADV,O,OFFICIAL ORG,1,0,0,0,0,0
Ctr for Educ Rsch in Culture,9303,College of Humanities,N,HMNT,O,OFFICIAL ORG,11,0,0,0,0,0
LEARNING TECHNOLOGIES/FAC DEV,9304,Ctr for Educ Rsch in Culture,N,9303,N,UNOFFICIAL ORG - LEVEL 1,55,0,0,0,0,0
Ofc Stdnt Computing Resources,9305,Educ Tech & Faculty Devel Div,Y,ETFD,O,OFFICIAL ORG,413,4,0,0,3,1
Information Warehouse Office,9311,Univ Info Tech Services Div,N,UITS,O,OFFICIAL ORG,1,0,0,0,0,0
Ofc of the Chief Info Officer,9312,Chief Information Officer Div,Y,CIDV,O,OFFICIAL ORG,2,0,0,0,0,0
Office of Instruct & Assess,9320,Vice Provost Acad Affrs Div,Y,ACDV,O,OFFICIAL ORG,76,32,21,23,3,0
Univ Info Tech Svcs Admin,9501,Univ Info Tech Services Div,Y,UITS,O,OFFICIAL ORG,42,1,0,0,1,0
UITS-ADMINSTRATIVE COMPUTING,9502,Univ Info Tech Svcs Admin,Y,9501,N,UNOFFICIAL ORG - LEVEL 1,87,1,0,0,0,1
UITS-COMPUTING SERVICES,9504,Univ Info Tech Svcs Admin,Y,9501,N,UNOFFICIAL ORG - LEVEL 1,44,0,0,0,0,0
UITS-FINANCIAL MANAGEMENT,9505,Univ Info Tech Svcs Admin,Y,9501,N,UNOFFICIAL ORG - LEVEL 1,47,1,0,0,1,0
BUSINESS CONTINUITY INFO SEC,9506,Univ Info Tech Svcs Admin,Y,9501,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Institutional IT Applications,9507,Chief Information Officer Div,Y,CIDV,O,OFFICIAL ORG,136,5,0,0,4,1
UITS-Project Management Office,9508,Univ Info Tech Services Div,Y,UITS,O,OFFICIAL ORG,0,0,0,0,0,0
UITS Admin,9520,Univ Info Tech Services Div,Y,UITS,O,OFFICIAL ORG,50,32,13,28,6,0
Information Security Office,9521,Univ Info Tech Services Div,Y,UITS,O,OFFICIAL ORG,18,13,11,11,5,0
Admin Technologies,9522,Univ Info Tech Services Div,Y,UITS,O,OFFICIAL ORG,37,30,10,30,1,0
Student & Acad Technologies,9523,Univ Info Tech Services Div,Y,UITS,O,OFFICIAL ORG,201,145,31,75,75,0
Research & Discovery Tech,9524,Univ Info Tech Services Div,Y,UITS,O,OFFICIAL ORG,24,22,4,17,6,1
Campus IT Partnerships,9525,Univ Info Tech Services Div,Y,UITS,O,OFFICIAL ORG,120,86,17,56,41,0
Infra & Foundational Tech,9526,Univ Info Tech Services Div,Y,UITS,O,OFFICIAL ORG,136,96,22,87,13,0
Sun Corridor Network,9527,Univ Info Tech Services Div,Y,UITS,O,OFFICIAL ORG,2,1,1,1,0,0
Cloud Operations,9529,Univ Info Tech Services Div,Y,UITS,O,OFFICIAL ORG,0,0,0,0,0,0
Disability Resource Center,9601,Disability Resource Center,Y,DRCA,O,OFFICIAL ORG,772,174,21,114,69,1
Office of the General Counsel,9801,General Counsel Division,Y,OGCD,O,OFFICIAL ORG,82,25,15,21,6,0
Secretary of the University,9803,Div of Secretary of the Univ,Y,PRDV,O,OFFICIAL ORG,12,8,4,6,3,1
Parking and Transportation,9804,Parking and Transportation,Y,PRKG,O,OFFICIAL ORG,1187,267,10,91,183,0
Parking/Transportation-Special Events,9805,Parking and Transportation,Y,9804,N,UNOFFICIAL ORG - LEVEL 1,204,73,0,11,62,0
Ofc Multicultural Engagement,9806,Div Equity Incl & Title IX,Y,DEIT,O,OFFICIAL ORG,87,76,19,23,59,0
Ofc Multicultural Advancement,9807,Div Equity Incl & Title IX,Y,DEIT,O,OFFICIAL ORG,11,11,2,4,8,0
Ofc Diversity Incl Excellence,9808,Div Equity Incl & Title IX,Y,DEIT,O,OFFICIAL ORG,10,10,2,3,8,0
Ctr for Violence Prevention,9809,Div Equity Incl & Title IX,Y,DEIT,O,OFFICIAL ORG,0,0,0,0,0,0
Office of Title IX,9810,Div Equity Incl & Title IX,Y,DEIT,O,OFFICIAL ORG,3,2,2,2,1,0
Office of the Ombuds,9811,Div Equity Incl & Title IX,Y,DEIT,O,OFFICIAL ORG,2,2,1,2,0,0
Ofc Prevention Educ & Training,9812,Div Equity Incl & Title IX,Y,DEIT,O,OFFICIAL ORG,4,3,0,0,3,0
Ofc of Advocacy and Support,9813,Div Equity Incl & Title IX,Y,DEIT,O,OFFICIAL ORG,3,3,3,3,2,0
Ntl Inst for Civil Discourse,9820,RDI Centers & Institutes,Y,RCTI,O,OFFICIAL ORG,7,3,2,3,0,0
DC Ctr Outrch & Collaboration,9821,Exec Ofc of the President Div,Y,PREO,O,OFFICIAL ORG,2,2,1,2,0,0
Executive Ofc of the President,9901,Exec Ofc of the President Div,Y,PREO,O,OFFICIAL ORG,76,18,6,10,9,0
Office of the Provost,9902,Academic Affairs Division,Y,AADV,O,OFFICIAL ORG,85,24,16,21,7,0
Development Office,9903,Development Office Division,Y,UAFN,O,OFFICIAL ORG,162,107,81,98,14,3
Research-Discovery &Innovation,9906,RDI Research Infrastructure,Y,RSDV,O,OFFICIAL ORG,172,43,34,38,6,1
Health Sciences Administration,9908,Academic Affairs Division,Y,AADV,O,OFFICIAL ORG,0,0,0,0,0,0
VP Student Affrs & Enrlmt Mgmt,9909,Student Affrs & Enrl Mgmt,Y,STDV,O,OFFICIAL ORG,162,61,28,38,27,2
Business Affairs Office,9913,Business Affairs Division,Y,BUDV,O,OFFICIAL ORG,23,6,4,6,0,0
Tech Parks Arizona,9915,Tech Parks Division,Y,TCHP,O,OFFICIAL ORG,74,4,2,3,0,1
Associate Vice Pres - Admin Services,9918,Business Affairs Division,N,BUDV,O,OFFICIAL ORG,3,0,0,0,0,0
State Relations,9919,University Relations Division,N,EXDV,O,OFFICIAL ORG,8,0,0,0,0,0
Office of Institutional Equity,9920,Div Equity Incl & Title IX,Y,DEIT,O,OFFICIAL ORG,31,9,5,8,2,0
Records Management & Archives,9921,Financial Services,Y,FNSV,O,OFFICIAL ORG,9,3,1,3,0,0
Federal Relations,9922,University Relations Division,N,EXDV,O,OFFICIAL ORG,7,0,0,0,0,0
Institutional Administration,9923,Business Affairs General,Y,BUGN,O,OFFICIAL ORG,2,0,0,0,0,0
Instl Plan Anls & Special Svcs,9924,Academic Affairs Division,N,AADV,O,OFFICIAL ORG,6,0,0,0,0,0
Chief Marketing Communications,9928,Marketing Communications Div,Y,MCDV,O,OFFICIAL ORG,43,3,3,3,0,0
Office of Community Relations,9929,University Relations Division,N,EXDV,O,OFFICIAL ORG,84,1,0,0,1,0
OPTIONAL RETIREMENT,9930,Academic Affairs General,N,AAGN,O,OFFICIAL ORG,0,0,0,0,0,0
Academic Inits & Stdnt Success,9932,Academic Inits & Stdnt Success,Y,OLDL,O,OFFICIAL ORG,193,105,67,87,31,0
Marketing & Brand Management,9933,Marketing Communications Div,Y,MCDV,O,OFFICIAL ORG,58,35,12,16,19,0
Government&Community Relations,9934,Div of Secretary of the Univ,Y,PRDV,O,OFFICIAL ORG,34,16,10,12,6,0
International Education,9935,Ofc of Global Initiatives Div,Y,OTDV,O,OFFICIAL ORG,12,10,7,7,5,0
Continuing & Professional Educ,9936,Enrollment Services,Y,ENRL,O,OFFICIAL ORG,13,12,7,10,0,0
Ofc of Strategic Initiatives,9937,Div of Secretary of the Univ,Y,PRDV,O,OFFICIAL ORG,9,8,8,8,0,0
Equity Incl & Title IX Admin,9938,Div Equity Incl & Title IX,Y,DEIT,O,OFFICIAL ORG,14,7,2,6,1,0
Pres Events & Univ Ceremonies,9939,Div of Secretary of the Univ,Y,PRDV,O,OFFICIAL ORG,12,12,7,8,4,0
Univ Analytics and Inst Resch,9940,Univ Info Tech Services Div,Y,UITS,O,OFFICIAL ORG,105,48,42,43,11,0
UAHS Banner Space,9941,AZ Health Sci Ctrs & Divisions,Y,HSCD,O,OFFICIAL ORG,0,0,0,0,0,0
Academic Administration,9942,Academic Affairs Division,Y,AADV,O,OFFICIAL ORG,23,21,8,19,6,0
Business Affairs General,9943,Business Affairs Division,Y,BUDV,O,OFFICIAL ORG,0,0,0,0,0,0
Research-Institutional Support,9944,RDI Research Infrastructure,Y,RSDV,O,OFFICIAL ORG,0,0,0,0,0,0
TRIF-Institutional Support,9945,RDI Research Infrastructure,Y,RSDV,O,OFFICIAL ORG,0,0,0,0,0,0
General Education Admin,9946,Academic Affairs Division,Y,AADV,O,OFFICIAL ORG,0,0,0,0,0,0
Distance Education,9947,Academic Inits & Stdnt Success,Y,OLDL,O,OFFICIAL ORG,53,49,10,24,25,0
Ofc of University Initiatives,9949,Div of Secretary of the Univ,Y,PRDV,O,OFFICIAL ORG,6,6,5,6,0,0
General Instruction,9951,Academic Affairs General,Y,AAGN,O,OFFICIAL ORG,0,0,0,0,0,0
General Research,9952,Academic Affairs General,Y,AAGN,O,OFFICIAL ORG,0,0,0,0,0,0
Gen Institutional Support,9953,Business Affairs General,Y,BUGN,O,OFFICIAL ORG,0,0,0,0,0,0
General Public Service,9954,Academic Affairs General,N,AAGN,O,OFFICIAL ORG,0,0,0,0,0,0
General Academic Support,9955,Academic Affairs General,N,AAGN,O,OFFICIAL ORG,0,0,0,0,0,0
Unassignable Space,9956,Business Affairs General,Y,BUGN,O,OFFICIAL ORG,0,0,0,0,0,0
Outside Agency Assigned Space,9957,Business Affairs General,Y,BUGN,O,OFFICIAL ORG,0,0,0,0,0,0
Institutional Facilities,9963,Business Affairs Division,Y,BUDV,O,OFFICIAL ORG,0,0,0,0,0,0
AHS Institutional Support,9975,Az Health Sciences Division,Y,HLGN,O,OFFICIAL ORG,0,0,0,0,0,0
Applied Sci & Tech-Inst Suppt,9976,College of Applied Sci & Tech,Y,UAZS,O,OFFICIAL ORG,0,0,0,0,0,0
General Student Services,9977,Academic Affairs General,N,AAGN,O,OFFICIAL ORG,0,0,0,0,0,0
General Agriculture,9978,Ag/Life/Vet/Ext Div,Y,AGGN,O,OFFICIAL ORG,0,0,0,0,0,0
Cooperative Ext Unassigned,9979,Ag/Life/Vet/Ext Div,Y,AGGN,O,OFFICIAL ORG,0,0,0,0,0,0
Agriculture Instl Support,9980,Ag/Life/Vet/Ext Div,Y,AGGN,O,OFFICIAL ORG,0,0,0,0,0,0
Agriculture Ext Instl Support,9981,Ag/Life/Vet/Ext Div,Y,AGGN,O,OFFICIAL ORG,0,0,0,0,0,0
Phx Biomed Campus Instl Supp,9985,Phoenix Biomedical Campus,Y,PXGN,O,OFFICIAL ORG,1,0,0,0,0,0
FSO- Institutional,9990,Financial Services,Y,FNSV,O,OFFICIAL ORG,0,0,0,0,0,0
COM Phx Facilities Management,99FM,Phx Biomed Campus Instl Supp,Y,9985,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
COM Phx General Counsel,99GC,Phx Biomed Campus Instl Supp,Y,9985,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
COM Phx Human Resources,99HR,Phx Biomed Campus Instl Supp,Y,9985,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
COM Phx Health Sciences VP,99HS,Phx Biomed Campus Instl Supp,Y,9985,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
COM Phx VPR Office,99VP,Phx Biomed Campus Instl Supp,Y,9985,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
BUDGET OFFICE-AAA1-CLOSED,AAA1,BUDGET OFFICE-AAAA-CLOSED,N,AAAA,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
BUDGET OFFICE-AAA2,AAA2,BUDGET OFFICE-AAA1-CLOSED,N,AAA1,R,UNOFFICIAL ORG - LEVEL 3,0,0,0,0,0,0
BUDGET OFFICE-AAA3-CLOSED,AAA3,BUDGET OFFICE-AAA2,N,AAA2,S,UNOFFICIAL ORG -  LEVEL 4,0,0,0,0,0,0
BUDGET OFFICE-AAA4,AAA4,BUDGET OFFICE-AAA3-CLOSED,N,AAA3,T,UNOFFICIAL ORG - LEVEL 5,0,0,0,0,0,0
BUDGET OFFICE-AAAA-CLOSED,AAAA,Office of Budget and Planning,N,9201,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Academic Affairs Division,AADV,Academic Affairs Provost,Y,AAPV,C,COLLEGE,0,0,0,0,0,0
Academic Affairs General,AAGN,Academic Affairs Provost,Y,AAPV,C,COLLEGE,0,0,0,0,0,0
Academic Affairs Provost,AAPV,Sr VP Acad Affairs and Provost,Y,PVST,V,VP LEVEL,0,0,0,0,0,0
AZ Cntr for Biology of Complex Diseases,ABCD,AZ Rsch Labs-Interdisciplinary,N,2511,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Analytical & Biological Mass Spec,ABMS,AZ Rsch Labs-Interdisciplinary,Y,2511,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
ACADEMIC AFFAIRS,ACAD,Fine Arts Administration,Y,3501,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Vice Provost Academic Affairs,ACAF,Sr VP Acad Affairs and Provost,Y,PVST,V,VP LEVEL,0,0,0,0,0,0
Vice Provost Acad Affrs Div,ACDV,Vice Provost Academic Affairs,Y,ACAF,C,COLLEGE,0,0,0,0,0,0
MAdult1537,AD37,Maricopa County Office,Y,1537,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
TAR ADMIN OFFICE,ADM,School of Theatre Arts,N,3506,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
ADMINISTRATION,ADM1,School of Media Arts,N,3507,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
ADMINISTRATION,ADM2,School of Dance,Y,3508,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Administration,ADMI,Cancer Center Administration,Y,721A,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
ADMINISTRATION,ADMN,School of Art,Y,3504,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
DoM - Ana Rodriguez,ADOM,Medicine,Y,0713,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
ASSOC VICE PRES ADMINISTRATIVE SERVICES,ADSV,Sr VP Business Affairs and CFO,N,SRBU,C,COLLEGE,0,0,0,0,0,0
CALS Cooperative Ext,AGCE,VP Ag/Life/Vet/Ext,Y,AGLS,C,COLLEGE,1,1,0,1,0,0
Ag/Life/Vet/Ext Div,AGGN,VP Ag/Life/Vet/Ext,Y,AGLS,C,COLLEGE,0,0,0,0,0,0
VP Ag/Life/Vet/Ext,AGLS,Sr VP Acad Affairs and Provost,Y,PVST,V,VP LEVEL,0,0,0,0,0,0
College of Agric and Life Sci,AGSC,VP Ag/Life/Vet/Ext,Y,AGLS,C,COLLEGE,0,0,0,0,0,0
Arizona Health Sciences,AHSC,University,Y,UNAZ,L,CAMPUS,0,0,0,0,0,0
AZ JASS DANCE SHOWCASE,AJDS,School of Dance,Y,3508,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Alumni Relations Division,ALUM,Units of the President,Y,PRUN,C,COLLEGE,0,0,0,0,0,0
Analytical Chemistry,ANCH,Cancer Center Shared Resources,Y,721S,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
Apache1511,AP11,Nutritional Sciences-Ext,Y,1523,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Acccounts Payable Group Management,APGM,FSO-Administration,Y,7701,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Col Arch Plan & Landscape Arch,ARCH,Academic Affairs Provost,Y,AAPV,C,COLLEGE,0,0,0,0,0,0
ART HISTORY,ARH,School of Art,Y,3504,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
ARL Administration,ARLA,AZ Rsch Labs-Interdisciplinary,Y,2511,N,UNOFFICIAL ORG - LEVEL 1,1,0,0,0,0,0
ARTS AND VISUAL CULTURE EDUCATION,AVCE,School of Art,Y,3504,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
AZCC Program Review,AZCC,Cancer Center Division,N,0721,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Arizona Public Media,AZPM,VP for Business Affairs and HR,Y,HMNR,C,COLLEGE,0,0,0,0,0,0
MBB1537,BB37,Maricopa County Office,Y,1537,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Bio Computing Facility,BCF,AZ Rsch Labs-Interdisciplinary,Y,2511,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Division of Budget & Planning,BDGT,Business Affairs,Y,BUAF,C,COLLEGE,0,0,0,0,0,0
DoM - Cynthia Campas,BDOM,Medicine,Y,0713,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Bachelor of General Studies,BGS,Humanities Administration,Y,0427,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Bioinformatics,BIOI,Cancer Center Shared Resources,Y,721S,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
Biorepository,BIOR,Cancer Center Shared Resources,Y,721S,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
Biostatistics,BIOS,Cancer Center Shared Resources,Y,721S,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
Biotechnology,BIOT,AZ Rsch Labs-Interdisciplinary,N,2511,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Biomedical Engineering GIDP,BMGP,AZ Rsch Labs-Interdisciplinary,N,2511,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Behavioral Measurement & Interventions,BMIS,Cancer Center Shared Resources,Y,721S,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
BOX OFFICE,BOX,School of Theatre Arts,N,3506,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Business Affairs,BUAF,Sr VP Business Affairs and CFO,Y,SRBU,V,VP LEVEL,0,0,0,0,0,0
Business Affairs Division,BUDV,Business Affairs,Y,BUAF,C,COLLEGE,0,0,0,0,0,0
Business Affairs General,BUGN,Business Affairs,Y,BUAF,C,COLLEGE,0,0,0,0,0,0
Eller College of Management,BUSN,Academic Affairs Provost,Y,AAPV,C,COLLEGE,0,0,0,0,0,0
Carson Scholars Programs,CARS,Institute of the Environment,Y,2530,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
UA ASSET CUSTODIANS,CASS,FINANCIAL SERVICES OFC-CAPITAL FINANCE,Y,7710,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
Tomat's Accounts,CBC1,Chemistry & Biochemistry-Sci,Y,2536,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
CommunityBased Participatory Environment,CBPR,Institute of the Environment,Y,2530,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Ctr for Climate Adapt Sci and Solutions,CCAS,Institute of the Environment,Y,2530,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Cancer Center Gift,CCGF,Cancer Center Research,Y,721R,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
CCSG Pilot Award,CCPA,Cancer Center Research,Y,721R,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
CCSG Supplement,CCSP,Cancer Center Research,Y,721R,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
Cancer Center Clinical Trials,CCT,Cancer Center Division,N,0721,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
DoM - Julie Stringer,CDOM,Medicine,Y,0713,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
CERAMICS,CERA,School of Art,Y,3504,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
COLLEGE OF FINE ARTS,CFA,Fine Arts Administration,Y,3501,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
CAPITAL FINANCE GROUP MANAGEMENT,CFGM,FINANCIAL SERVICES OFC-CAPITAL FINANCE,Y,7710,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
DIRECTOR / CAMPUS & FACILITIES PLANNING,CFPL,Facilities,N,FCLT,C,COLLEGE,0,0,0,0,0,0
Cryogenics & Compressed Gas Facility,CGF,AZ Rsch Labs-Interdisciplinary,Y,2511,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
CHAPS1523,CH23,Nutritional Sciences-Ext,Y,1523,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Chief Information Officer Div,CIDV,Chief Information Officer,Y,CIOF,C,COLLEGE,0,0,0,0,0,0
Cancer Imaging,CIMA,Cancer Center Shared Resources,Y,721S,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
Chief Information Officer,CIOF,SVP & Secretary of the Univ,Y,SVPS,V,VP LEVEL,0,0,0,0,0,0
Center for Insect Science,CIS,AZ Rsch Labs-Interdisciplinary,N,2511,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Letters Arts & Sci Division,CLAD,Colleges of Letters Arts & Sci,Y,CLAS,C,COLLEGE,0,0,0,0,0,0
Colleges of Letters Arts & Sci,CLAS,Academic Affairs Provost,Y,AAPV,P,SUPERCOLLEGE,0,0,0,0,0,0
Climate Assessment for the Southwest,CLMS,Institute of the Environment,Y,2530,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
